value,L2,L4,L3
Auckland,city,,
2005-02-17,dates,,
male,gender,,
T20,match_type,,
44,outcome,runs,by
Australia,outcome,,winner
20,overs,,
RT Ponting,player_of_match,,
New Zealand,teams,,
Australia,teams,,
bat,toss,,decision
Australia,toss,,winner
BF Bowden,umpires,,
AL Hill,umpires,,
Eden Park,venue,,
