value,L2,L4,L3
Bangalore,city,,
IPL,competition,,
2008-04-18,dates,,
male,gender,,
T20,match_type,,
140,outcome,runs,by
Kolkata Knight Riders,outcome,,winner
20,overs,,
BB McCullum,player_of_match,,
Royal Challengers Bangalore,teams,,
Kolkata Knight Riders,teams,,
field,toss,,decision
Royal Challengers Bangalore,toss,,winner
Asad Rauf,umpires,,
RE Koertzen,umpires,,
M Chinnaswamy Stadium,venue,,
